open,high,low,close,tick_volume,spread,real_volume,state_hat_H2,margin_H2,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_balance_compression,LOOK_FOR_transition_inventory_reset,LOOK_FOR_transition_initiative,LOOK_FOR_trend_orderly_pullback_asia,LOOK_FOR_trend_orderly_pullback_west,LOOK_FOR_trend_overextended,quality_label,quality_label_full,base_state
4777.7,4781.9,4777.7,4781.45,0,0,0,1,0.9974619759816475,NY_PM,1,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4781.2,4781.75,4779.75,4780.4,0,0,0,1,0.9974619759816475,NY_PM,1,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4780.45,4780.95,4778.75,4778.9,0,0,0,1,0.9974619759816475,NY_PM,1,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4778.75,4780.85,4778.4,4780.35,0,0,0,1,0.9974619759816475,NY_PM,1,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4780.15,4782.85,4780.0,4780.8,0,0,0,1,0.9974619759816475,NY_PM,2,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4780.5,4781.25,4777.45,4778.35,0,0,0,1,0.9974619759816475,NY_PM,2,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4778.3,4779.45,4778.3,4778.8,0,0,0,1,0.9974619759816475,NY_PM,2,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4778.8,4778.8,4776.75,4778.3,0,0,0,1,0.9974619759816475,NY_PM,2,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4778.5,4779.8,4778.3,4779.0,0,0,0,1,0.9974619759816475,ASIA,3,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4779.0,4779.5,4778.0,4779.0,0,0,0,1,0.9974619759816475,ASIA,3,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4779.0,4779.5,4778.45,4779.5,0,0,0,1,0.9974619759816475,ASIA,3,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4779.5,4781.0,4779.5,4780.3,0,0,0,1,0.9974619759816475,ASIA,3,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4780.45,4783.0,4780.3,4782.0,0,0,0,1,0.9974619759816475,ASIA,4,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
