open,high,low,close,tick_volume,spread,real_volume,state_hat_H2,margin_H2,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_balance_vwap_proximity,LOOK_FOR_balance_extreme_to_center,LOOK_FOR_balance_compression,LOOK_FOR_balance_vwap_body_deviation,LOOK_FOR_trend_strong_orderly,LOOK_FOR_trend_liquidity_sweep,LOOK_FOR_trend_prev_vwap_pullback,LOOK_FOR_transition_chop_near_vwap,LOOK_FOR_transition_acceptance,quality_label,quality_label_full,base_state
1856.49,1857.96,1849.06,1856.46,0,0,0,2,0.9903642541664652,NY,3,1.376741111206904,day_anchor_std,ny_rollover_17,0,0,0,0,1,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
1856.46,1858.49,1853.5,1857.78,0,0,0,2,0.9903642541664652,NY,3,1.376741111206904,day_anchor_std,ny_rollover_17,0,0,0,0,1,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
1857.78,1859.88,1856.11,1856.56,0,0,0,2,0.9903642541664652,NY,3,1.376741111206904,day_anchor_std,ny_rollover_17,0,0,0,0,1,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
1856.59,1860.38,1856.54,1858.58,0,0,0,2,0.9903642541664652,NY,3,1.376741111206904,day_anchor_std,ny_rollover_17,0,0,0,0,1,0,0,0,0,TREND_STRONG,TREND_STRONG,TREND
1858.58,1860.04,1855.32,1856.01,0,0,0,1,0.5167552279916849,NY_PM,1,0.39492080201324375,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,1,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1856.02,1856.94,1850.15,1850.5,0,0,0,1,0.5167552279916849,NY_PM,1,0.39492080201324375,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,1,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1850.51,1853.32,1849.81,1852.9,0,0,0,1,0.5167552279916849,NY_PM,1,0.39492080201324375,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,1,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1852.91,1853.99,1850.17,1850.61,0,0,0,1,0.5167552279916849,NY_PM,1,0.39492080201324375,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,1,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1855.34,1857.18,1854.88,1854.94,0,0,0,0,0.34446321821581966,NY_PM,2,0.12552442820406995,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
1854.95,1855.23,1853.79,1854.16,0,0,0,0,0.34446321821581966,NY_PM,2,0.12552442820406995,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
1854.27,1856.53,1854.13,1856.29,0,0,0,1,0.27808138256089554,ASIA,1,0.008295242932123059,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,1,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1856.35,1857.01,1854.82,1854.88,0,0,0,1,0.27808138256089554,ASIA,1,0.008295242932123059,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,1,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1854.82,1856.34,1854.01,1856.16,0,0,0,1,0.27808138256089554,ASIA,1,0.008295242932123059,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,1,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1856.16,1856.17,1854.46,1855.15,0,0,0,1,0.27808138256089554,ASIA,1,0.008295242932123059,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,1,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1852.08,1852.7,1850.78,1851.11,0,0,0,0,0.687246585958133,ASIA,2,0.55905059989567,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1851.08,1853.46,1850.56,1852.66,0,0,0,0,0.687246585958133,ASIA,2,0.55905059989567,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
