symbol,episode_id,setup_family,side_intent,meta_baseline_id,start_ts,end_ts,n_bars
EURUSD.mg,1,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-01-05 12:00:00,2023-01-05 12:00:00,1
EURUSD.mg,2,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-01-06 12:00:00,2023-02-01 16:00:00,5
EURUSD.mg,3,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-02-10 08:00:00,2023-02-10 12:00:00,2
EURUSD.mg,4,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-02-13 12:00:00,2023-02-13 12:00:00,1
EURUSD.mg,5,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-02-15 10:00:00,2023-02-15 10:00:00,1
EURUSD.mg,6,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-03-01 08:00:00,2023-03-01 08:00:00,1
EURUSD.mg,7,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-03-02 08:00:00,2023-03-02 08:00:00,1
EURUSD.mg,8,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-03-06 10:00:00,2023-03-06 12:00:00,2
EURUSD.mg,9,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-03-07 14:00:00,2023-03-07 14:00:00,1
EURUSD.mg,10,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-03-20 10:00:00,2023-03-22 14:00:00,3
EURUSD.mg,11,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-04-14 10:00:00,2023-04-14 10:00:00,1
EURUSD.mg,12,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-04-24 12:00:00,2023-04-24 12:00:00,1
EURUSD.mg,13,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-04-25 10:00:00,2023-05-12 10:00:00,3
EURUSD.mg,14,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-06-01 10:00:00,2023-06-01 12:00:00,2
EURUSD.mg,15,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-06-02 12:00:00,2023-06-02 12:00:00,1
EURUSD.mg,16,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-06-08 10:00:00,2023-06-21 14:00:00,3
EURUSD.mg,17,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-06-28 10:00:00,2023-07-04 14:00:00,2
EURUSD.mg,18,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-07-07 10:00:00,2023-07-12 10:00:00,4
EURUSD.mg,19,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-07-27 14:00:00,2023-07-27 14:00:00,1
EURUSD.mg,20,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-08-10 08:00:00,2023-08-10 08:00:00,1
EURUSD.mg,21,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-08-14 08:00:00,2023-08-24 14:00:00,2
EURUSD.mg,22,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-08-29 12:00:00,2023-08-29 14:00:00,2
EURUSD.mg,23,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-08-31 08:00:00,2023-09-14 14:00:00,3
EURUSD.mg,24,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-09-20 12:00:00,2023-09-20 12:00:00,1
EURUSD.mg,25,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-10-02 10:00:00,2023-10-13 10:00:00,3
EURUSD.mg,26,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-10-19 12:00:00,2023-10-23 14:00:00,4
EURUSD.mg,27,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-11-01 08:00:00,2023-11-01 08:00:00,1
EURUSD.mg,28,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-11-02 08:00:00,2023-11-17 14:00:00,2
EURUSD.mg,29,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-11-21 14:00:00,2023-12-05 12:00:00,3
EURUSD.mg,30,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-12-14 08:00:00,2023-12-27 12:00:00,6
