symbol,episode_id,setup_family,side_intent,meta_baseline_id,start_ts,end_ts,n_bars
US500.spot.mg,1,balance_stability,NONE,BALANCE_STABILITY,2023-01-04 22:00:00,2023-01-05 04:00:00,4
US500.spot.mg,2,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-01-11 10:00:00,2023-01-11 10:00:00,1
US500.spot.mg,3,balance_stability,NONE,BALANCE_STABILITY,2023-01-18 00:00:00,2023-01-18 06:00:00,4
US500.spot.mg,4,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-01-18 12:00:00,2023-01-18 12:00:00,1
US500.spot.mg,5,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-01-19 02:00:00,2023-01-19 06:00:00,3
US500.spot.mg,6,balance_stability,NONE,BALANCE_STABILITY,2023-01-20 00:00:00,2023-01-20 00:00:00,1
US500.spot.mg,7,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-01-20 12:00:00,2023-01-20 12:00:00,1
US500.spot.mg,8,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-01-26 04:00:00,2023-01-26 06:00:00,2
US500.spot.mg,9,balance_stability,NONE,BALANCE_STABILITY,2023-01-27 02:00:00,2023-01-27 04:00:00,2
US500.spot.mg,10,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-02-01 00:00:00,2023-02-01 00:00:00,1
US500.spot.mg,11,balance_stability,NONE,BALANCE_STABILITY,2023-02-02 22:00:00,2023-02-03 06:00:00,4
US500.spot.mg,12,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-02-06 06:00:00,2023-02-06 06:00:00,1
US500.spot.mg,13,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-02-10 08:00:00,2023-02-10 08:00:00,1
US500.spot.mg,14,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-02-14 00:00:00,2023-02-14 00:00:00,1
US500.spot.mg,15,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-02-14 02:00:00,2023-02-14 04:00:00,2
US500.spot.mg,16,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-02-14 06:00:00,2023-02-14 06:00:00,1
US500.spot.mg,17,balance_stability,NONE,BALANCE_STABILITY,2023-02-15 00:00:00,2023-02-15 00:00:00,1
US500.spot.mg,18,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-02-16 00:00:00,2023-02-16 02:00:00,2
US500.spot.mg,19,state_reinforcement,NONE,STATE_REINFORCEMENT,2023-02-16 04:00:00,2023-02-16 04:00:00,1
US500.spot.mg,20,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-02-16 06:00:00,2023-02-16 06:00:00,1
US500.spot.mg,21,balance_stability,NONE,BALANCE_STABILITY,2023-02-19 22:00:00,2023-02-19 22:00:00,1
US500.spot.mg,22,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-02-21 10:00:00,2023-02-21 12:00:00,2
US500.spot.mg,23,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-02-23 10:00:00,2023-02-23 10:00:00,1
