symbol,episode_id,setup_family,side_intent,meta_baseline_id,start_ts,end_ts,n_bars
USDCLP.mg,1,balance_degradation_breakout,LONG,BALANCE_DEGRADATION,2023-01-05 15:00:00,2023-01-05 15:00:00,1
USDCLP.mg,2,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-01-06 15:00:00,2023-01-10 17:00:00,3
USDCLP.mg,3,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-12 17:00:00,2023-01-12 20:00:00,3
USDCLP.mg,4,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-13 13:00:00,2023-01-13 13:00:00,1
USDCLP.mg,5,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-13 14:00:00,2023-01-13 15:00:00,2
USDCLP.mg,6,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-13 16:00:00,2023-01-16 13:00:00,3
USDCLP.mg,7,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-16 14:00:00,2023-01-16 17:00:00,4
USDCLP.mg,8,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-17 13:00:00,2023-01-17 13:00:00,1
USDCLP.mg,9,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-01-17 19:00:00,2023-01-17 20:00:00,2
USDCLP.mg,10,balance_degradation_breakout,LONG,BALANCE_DEGRADATION,2023-01-18 16:00:00,2023-01-18 16:00:00,1
USDCLP.mg,11,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-01-18 17:00:00,2023-01-18 17:00:00,1
USDCLP.mg,12,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-19 13:00:00,2023-01-19 13:00:00,1
USDCLP.mg,13,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-20 17:00:00,2023-01-24 14:00:00,8
USDCLP.mg,14,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-01-24 16:00:00,2023-01-24 16:00:00,1
USDCLP.mg,15,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-24 17:00:00,2023-01-25 13:00:00,2
USDCLP.mg,16,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-25 14:00:00,2023-01-25 20:00:00,3
USDCLP.mg,17,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-26 13:00:00,2023-01-26 14:00:00,2
USDCLP.mg,18,balance_degradation_breakout,LONG,BALANCE_DEGRADATION,2023-01-27 15:00:00,2023-01-27 15:00:00,1
USDCLP.mg,19,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-30 14:00:00,2023-01-30 19:00:00,5
USDCLP.mg,20,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-30 20:00:00,2023-01-30 20:00:00,1
USDCLP.mg,21,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-31 13:00:00,2023-01-31 13:00:00,1
USDCLP.mg,22,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-01-31 15:00:00,2023-01-31 20:00:00,4
USDCLP.mg,23,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-02-03 14:00:00,2023-02-03 14:00:00,1
USDCLP.mg,24,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-02-06 13:00:00,2023-02-06 13:00:00,1
USDCLP.mg,25,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-02-07 14:00:00,2023-02-07 19:00:00,2
USDCLP.mg,26,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-02-08 16:00:00,2023-02-08 16:00:00,1
USDCLP.mg,27,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-02-08 17:00:00,2023-02-08 20:00:00,3
USDCLP.mg,28,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-02-09 13:00:00,2023-02-09 14:00:00,2
USDCLP.mg,29,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-02-09 15:00:00,2023-02-09 17:00:00,3
USDCLP.mg,30,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-02-09 19:00:00,2023-02-09 19:00:00,1
USDCLP.mg,31,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-02-10 13:00:00,2023-02-10 16:00:00,3
USDCLP.mg,32,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-02-10 17:00:00,2023-02-13 17:00:00,6
USDCLP.mg,33,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-02-13 20:00:00,2023-02-13 20:00:00,1
USDCLP.mg,34,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-02-14 13:00:00,2023-02-14 14:00:00,2
USDCLP.mg,35,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-02-15 13:00:00,2023-02-16 13:00:00,6
USDCLP.mg,36,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-02-16 14:00:00,2023-02-16 14:00:00,1
USDCLP.mg,37,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-02-17 16:00:00,2023-02-20 15:00:00,4
USDCLP.mg,38,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-02-20 16:00:00,2023-02-20 17:00:00,2
USDCLP.mg,39,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-02-21 13:00:00,2023-02-22 13:00:00,5
USDCLP.mg,40,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-02-22 14:00:00,2023-02-22 16:00:00,3
USDCLP.mg,41,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-02-22 20:00:00,2023-02-22 20:00:00,1
USDCLP.mg,42,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-02-23 16:00:00,2023-02-23 20:00:00,3
USDCLP.mg,43,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-02-28 15:00:00,2023-02-28 20:00:00,5
USDCLP.mg,44,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-03-02 16:00:00,2023-03-02 19:00:00,3
USDCLP.mg,45,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-03-02 20:00:00,2023-03-03 15:00:00,4
USDCLP.mg,46,transition_resolution,SHORT,TRANSITION_RESOLUTION,2023-03-03 16:00:00,2023-03-03 17:00:00,2
USDCLP.mg,47,transition_resolution,LONG,TRANSITION_RESOLUTION,2023-03-07 16:00:00,2023-03-07 20:00:00,3
USDCLP.mg,48,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-03-08 14:00:00,2023-03-08 14:00:00,1
