symbol,setup_family,baseline_id,episode_id,intent_side,entry_ts,horizon_bars,is_virtual_pair
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,2,SHORT,2023-01-06 15:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,3,SHORT,2023-01-12 17:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,4,LONG,2023-01-13 13:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,5,SHORT,2023-01-13 14:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,6,LONG,2023-01-13 16:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,7,SHORT,2023-01-16 14:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,8,LONG,2023-01-17 13:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,9,SHORT,2023-01-17 19:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,11,LONG,2023-01-18 17:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,12,LONG,2023-01-19 13:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,13,SHORT,2023-01-20 17:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,14,SHORT,2023-01-24 16:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,15,SHORT,2023-01-24 17:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,16,LONG,2023-01-25 14:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,17,SHORT,2023-01-26 13:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,19,LONG,2023-01-30 14:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,20,SHORT,2023-01-30 20:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,21,LONG,2023-01-31 13:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,22,SHORT,2023-01-31 15:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,23,LONG,2023-02-03 14:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,24,LONG,2023-02-06 13:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,25,SHORT,2023-02-07 14:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,26,SHORT,2023-02-08 16:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,27,LONG,2023-02-08 17:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,28,LONG,2023-02-09 13:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,29,SHORT,2023-02-09 15:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,30,LONG,2023-02-09 19:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,31,LONG,2023-02-10 13:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,32,SHORT,2023-02-10 17:00:00,16,False
