symbol,episode_id,setup_family,side_intent,meta_baseline_id,start_ts,end_ts,n_bars
XAUUSD.mg,1,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-01-04 16:00:00,2023-01-04 16:00:00,1
XAUUSD.mg,2,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-04 18:00:00,2023-01-04 18:00:00,1
XAUUSD.mg,3,balance_stability,NONE,BALANCE_STABILITY,2023-01-04 22:00:00,2023-01-04 22:00:00,1
XAUUSD.mg,4,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-05 00:00:00,2023-01-05 00:00:00,1
XAUUSD.mg,5,balance_stability,NONE,BALANCE_STABILITY,2023-01-05 06:00:00,2023-01-05 06:00:00,1
XAUUSD.mg,6,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-05 22:00:00,2023-01-06 00:00:00,2
XAUUSD.mg,7,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-06 02:00:00,2023-01-06 04:00:00,2
XAUUSD.mg,8,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-01-06 18:00:00,2023-01-09 06:00:00,5
XAUUSD.mg,9,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-01-09 14:00:00,2023-01-09 14:00:00,1
XAUUSD.mg,10,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-09 18:00:00,2023-01-09 18:00:00,1
XAUUSD.mg,11,balance_stability,NONE,BALANCE_STABILITY,2023-01-10 00:00:00,2023-01-11 12:00:00,7
XAUUSD.mg,12,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-12 14:00:00,2023-01-12 14:00:00,1
XAUUSD.mg,13,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-01-12 20:00:00,2023-01-12 20:00:00,1
XAUUSD.mg,14,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-12 22:00:00,2023-01-13 04:00:00,4
XAUUSD.mg,15,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-13 12:00:00,2023-01-13 12:00:00,1
XAUUSD.mg,16,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-13 22:00:00,2023-01-16 00:00:00,2
XAUUSD.mg,17,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-16 10:00:00,2023-01-16 14:00:00,2
XAUUSD.mg,18,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-17 14:00:00,2023-01-17 14:00:00,1
XAUUSD.mg,19,balance_stability,NONE,BALANCE_STABILITY,2023-01-17 22:00:00,2023-01-17 22:00:00,1
XAUUSD.mg,20,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-18 02:00:00,2023-01-18 02:00:00,1
XAUUSD.mg,21,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-18 16:00:00,2023-01-18 18:00:00,2
XAUUSD.mg,22,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-18 22:00:00,2023-01-19 02:00:00,3
XAUUSD.mg,23,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-19 04:00:00,2023-01-20 06:00:00,5
XAUUSD.mg,24,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-20 10:00:00,2023-01-20 12:00:00,2
XAUUSD.mg,25,balance_stability,NONE,BALANCE_STABILITY,2023-01-20 18:00:00,2023-01-23 00:00:00,4
XAUUSD.mg,26,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-24 22:00:00,2023-01-24 22:00:00,1
XAUUSD.mg,27,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-25 22:00:00,2023-01-26 02:00:00,3
XAUUSD.mg,28,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-01-26 08:00:00,2023-01-26 08:00:00,1
XAUUSD.mg,29,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-01-26 22:00:00,2023-01-27 08:00:00,3
XAUUSD.mg,30,balance_stability,NONE,BALANCE_STABILITY,2023-01-27 20:00:00,2023-01-30 22:00:00,10
XAUUSD.mg,31,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-01-31 12:00:00,2023-01-31 12:00:00,1
XAUUSD.mg,32,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-01-31 18:00:00,2023-01-31 20:00:00,2
XAUUSD.mg,33,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-01-31 22:00:00,2023-02-01 02:00:00,3
XAUUSD.mg,34,balance_stability,NONE,BALANCE_STABILITY,2023-02-01 18:00:00,2023-02-01 18:00:00,1
XAUUSD.mg,35,state_reinforcement,LONG,STATE_REINFORCEMENT,2023-02-02 08:00:00,2023-02-02 08:00:00,1
XAUUSD.mg,36,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-02-02 12:00:00,2023-02-02 12:00:00,1
XAUUSD.mg,37,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-02-02 22:00:00,2023-02-03 08:00:00,5
XAUUSD.mg,38,state_reinforcement,SHORT,STATE_REINFORCEMENT,2023-02-03 18:00:00,2023-02-03 18:00:00,1
XAUUSD.mg,39,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-02-03 22:00:00,2023-02-06 02:00:00,3
XAUUSD.mg,40,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-02-06 10:00:00,2023-02-06 10:00:00,1
XAUUSD.mg,41,balance_stability,NONE,BALANCE_STABILITY,2023-02-07 00:00:00,2023-02-09 14:00:00,15
XAUUSD.mg,42,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-02-09 22:00:00,2023-02-10 02:00:00,3
XAUUSD.mg,43,transition_persistence,LONG,TRANSITION_PERSISTENCE,2023-02-10 10:00:00,2023-02-10 16:00:00,4
XAUUSD.mg,44,balance_stability,NONE,BALANCE_STABILITY,2023-02-10 20:00:00,2023-02-13 02:00:00,4
XAUUSD.mg,45,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-02-13 22:00:00,2023-02-13 22:00:00,1
XAUUSD.mg,46,balance_stability,NONE,BALANCE_STABILITY,2023-02-14 02:00:00,2023-02-15 00:00:00,8
XAUUSD.mg,47,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-02-16 20:00:00,2023-02-16 20:00:00,1
XAUUSD.mg,48,balance_stability,NONE,BALANCE_STABILITY,2023-02-17 00:00:00,2023-02-17 00:00:00,1
XAUUSD.mg,49,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2023-02-17 12:00:00,2023-02-17 14:00:00,2
