combo,sample,trades,ev_trade_net,ev_total_net,winrate
A_pruned_current,research_2023_2024,93,0.002623872000741122,0.24402009606892436,0.6129032258064516
A_pruned_current,oos_2025,60,0.0016610406284772148,0.0996624377086329,0.6333333333333333
A_pruned_current,full_2023_2025,153,0.0022462910704415502,0.3436825337775572,0.6209150326797386
B_transition_NY_only,research_2023_2024,54,0.003419663812272761,0.1846618458627291,0.6481481481481481
B_transition_NY_only,oos_2025,38,0.004644662986285937,0.1764971934788656,0.7105263157894737
B_transition_NY_only,full_2023_2025,92,0.003925641731973856,0.36115903934159477,0.6739130434782609
C_add_LONDON_to_trend,research_2023_2024,116,0.002157555035810292,0.2502763841539939,0.603448275862069
C_add_LONDON_to_trend,oos_2025,73,0.0016231874028978745,0.11849268041154484,0.6164383561643836
C_add_LONDON_to_trend,full_2023_2025,189,0.0019511590717753375,0.36876906456553876,0.6084656084656085
D_trend_only_NYPM,research_2023_2024,33,0.003418459946059935,0.11280917821997785,0.6363636363636364
D_trend_only_NYPM,oos_2025,22,0.00233217437120517,0.05130783616651374,0.6818181818181818
D_trend_only_NYPM,full_2023_2025,55,0.002983945716118029,0.1641170143864916,0.6545454545454545
