symbol,score_tf,edge_mode,n_bars,n_days,bars_per_day,p_mean,p_std,p_nan_rate,baseline_id,base_state,quality_label_full
EURUSD.mg,M30,baseline,96.0,21.0,4.571428571428571,0.0,0.0,0.0,BALANCE_ESCAPE,BALANCE,BALANCE_COMPRESSING
EURUSD.mg,M30,baseline,96.0,21.0,4.571428571428571,0.8333333333333334,0.37463432463267804,0.0,BALANCE_STABILITY,BALANCE,BALANCE_COMPRESSING
EURUSD.mg,M30,baseline,2287.0,272.0,8.408088235294118,0.022747156605424323,0.14912897778762182,0.00043725404459991256,BALANCE_ESCAPE,BALANCE,BALANCE_LEAKING
EURUSD.mg,M30,baseline,2287.0,272.0,8.408088235294118,0.600174978127734,0.489969377870795,0.00043725404459991256,BALANCE_STABILITY,BALANCE,BALANCE_LEAKING
EURUSD.mg,M30,baseline,38.0,8.0,4.75,0.0,0.0,0.0,BALANCE_ESCAPE,BALANCE,BALANCE_STABLE
EURUSD.mg,M30,baseline,38.0,8.0,4.75,0.6842105263157895,0.4710691208760756,0.0,BALANCE_STABILITY,BALANCE,BALANCE_STABLE
EURUSD.mg,M30,baseline,1704.0,207.0,8.231884057971014,0.014084507042253521,0.117874032883815,0.0,BALANCE_ESCAPE,BALANCE,BALANCE_UNCLASSIFIED
EURUSD.mg,M30,baseline,1704.0,207.0,8.231884057971014,0.7453051643192489,0.435817440725997,0.0,BALANCE_STABILITY,BALANCE,BALANCE_UNCLASSIFIED
EURUSD.mg,M30,baseline,16.0,2.0,8.0,0.75,0.4472135954999579,0.0,TRANSITION_NOISE,TRANSITION,TRANSITION_FAILED
EURUSD.mg,M30,baseline,4002.0,326.0,12.276073619631902,0.9240379810094953,0.2649704402818659,0.0,TRANSITION_NOISE,TRANSITION,TRANSITION_NOISY
EURUSD.mg,M30,baseline,10221.0,529.0,19.321361058601134,0.8518301037385007,0.3552857041740915,0.000293513354857646,TRANSITION_NOISE,TRANSITION,TRANSITION_UNCLASSIFIED
EURUSD.mg,M30,baseline,454.0,80.0,5.675,0.47577092511013214,0.4999635310678364,0.0,STATE_FRAGILITY,TREND,TREND_FRAGILE
EURUSD.mg,M30,baseline,454.0,80.0,5.675,0.5242290748898678,0.4999635310678364,0.0,STATE_REINFORCEMENT,TREND,TREND_FRAGILE
EURUSD.mg,M30,baseline,4121.0,357.0,11.543417366946779,0.2727493326862412,0.44542707499763784,0.0,STATE_FRAGILITY,TREND,TREND_STRONG
EURUSD.mg,M30,baseline,4121.0,357.0,11.543417366946779,0.7272506673137588,0.44542707499763784,0.0,STATE_REINFORCEMENT,TREND,TREND_STRONG
EURUSD.mg,M30,baseline,1916.0,220.0,8.709090909090909,0.29018789144050106,0.4539674436280584,0.0,STATE_FRAGILITY,TREND,TREND_UNCLASSIFIED
EURUSD.mg,M30,baseline,1916.0,220.0,8.709090909090909,0.7098121085594989,0.4539674436280584,0.0,STATE_REINFORCEMENT,TREND,TREND_UNCLASSIFIED
