symbol,score_tf,edge_mode,control_mode,n_bars,n_days,bars_per_day,p_mean,p_std,p_nan_rate,look_for_rule,baseline_id,base_state,quality_label_full,control_p_mean,uplift,uplift_pp
EURUSD.mg,M30,baseline,PARENT_ESTRATO,4.0,1.0,4.0,1.0,0.0,0.0,LOOK_FOR_balance_recent_centered,BALANCE_STABILITY,BALANCE,BALANCE_COMPRESSING,0.625,0.375,37.5
EURUSD.mg,M30,baseline,PARENT_ESTRATO,276.0,52.0,5.3076923076923075,0.5072463768115942,0.5008556578364922,0.0,LOOK_FOR_balance_recent_centered,BALANCE_STABILITY,BALANCE,BALANCE_LEAKING,0.592128801431127,-0.08488242461953277,-8.488242461953277
EURUSD.mg,M30,baseline,PARENT_ESTRATO,212.0,36.0,5.888888888888889,0.7547169811320755,0.4312732335598348,0.0,LOOK_FOR_balance_recent_centered,BALANCE_STABILITY,BALANCE,BALANCE_UNCLASSIFIED,0.7485970819304153,0.006119899201660228,0.6119899201660228
EURUSD.mg,M30,baseline,PARENT_ESTRATO,4.0,1.0,4.0,1.0,0.0,0.0,LOOK_FOR_balance_compression,BALANCE_STABILITY,BALANCE,BALANCE_COMPRESSING,0.625,0.375,37.5
EURUSD.mg,M30,baseline,PARENT_ESTRATO,164.0,31.0,5.290322580645161,0.5853658536585366,0.4941676899805764,0.0,LOOK_FOR_balance_compression,BALANCE_STABILITY,BALANCE,BALANCE_LEAKING,0.592128801431127,-0.006762947772590455,-0.6762947772590455
EURUSD.mg,M30,baseline,PARENT_ESTRATO,140.0,28.0,5.0,0.6857142857142857,0.4658976681681524,0.0,LOOK_FOR_balance_compression,BALANCE_STABILITY,BALANCE,BALANCE_UNCLASSIFIED,0.7485970819304153,-0.06288279621612958,-6.288279621612958
EURUSD.mg,M30,baseline,PARENT_ESTRATO,392.0,59.0,6.6440677966101696,0.9387755102040817,0.2400480144048001,0.0,LOOK_FOR_transition_rotation_no_impulse,TRANSITION_NOISE,TRANSITION,TRANSITION_NOISY,0.9380165289256198,0.0007589812784618566,0.07589812784618566
EURUSD.mg,M30,baseline,PARENT_ESTRATO,600.0,78.0,7.6923076923076925,0.8033333333333333,0.39780980794140813,0.0,LOOK_FOR_transition_rotation_no_impulse,TRANSITION_NOISE,TRANSITION,TRANSITION_UNCLASSIFIED,0.8581976524043923,-0.05486431907105893,-5.486431907105893
EURUSD.mg,M30,baseline,PARENT_ESTRATO,140.0,28.0,5.0,0.8,0.40143627033028556,0.0,LOOK_FOR_trend_reinforcement_clean,STATE_REINFORCEMENT,TREND,TREND_STRONG,0.7022784810126582,0.09772151898734183,9.772151898734183
EURUSD.mg,M30,baseline,PARENT_ESTRATO,24.0,5.0,4.8,0.6666666666666666,0.48154341234307685,0.0,LOOK_FOR_trend_reinforcement_clean,STATE_REINFORCEMENT,TREND,TREND_UNCLASSIFIED,0.6984924623115578,-0.031825795644891186,-3.1825795644891186
