symbol,score_tf,edge_mode,n_bars,n_days,bars_per_day,p_mean,p_std,p_nan_rate,baseline_id,base_state,quality_label_full
US500.spot.mg,M30,baseline,40.0,9.0,4.444444444444445,0.0,0.0,0.0,BALANCE_ESCAPE,BALANCE,BALANCE_COMPRESSING
US500.spot.mg,M30,baseline,40.0,9.0,4.444444444444445,0.8,0.4050957468334667,0.0,BALANCE_STABILITY,BALANCE,BALANCE_COMPRESSING
US500.spot.mg,M30,baseline,1188.0,141.0,8.425531914893616,0.03367003367003367,0.18045435180703842,0.0,BALANCE_ESCAPE,BALANCE,BALANCE_LEAKING
US500.spot.mg,M30,baseline,1188.0,141.0,8.425531914893616,0.5808080808080808,0.49363465017538055,0.0,BALANCE_STABILITY,BALANCE,BALANCE_LEAKING
US500.spot.mg,M30,baseline,11.0,3.0,3.6666666666666665,0.0,0.0,0.0,BALANCE_ESCAPE,BALANCE,BALANCE_STABLE
US500.spot.mg,M30,baseline,11.0,3.0,3.6666666666666665,1.0,0.0,0.0,BALANCE_STABILITY,BALANCE,BALANCE_STABLE
US500.spot.mg,M30,baseline,849.0,107.0,7.934579439252336,0.004711425206124852,0.0685182999517141,0.0,BALANCE_ESCAPE,BALANCE,BALANCE_UNCLASSIFIED
US500.spot.mg,M30,baseline,849.0,107.0,7.934579439252336,0.7196702002355713,0.44942508827587235,0.0,BALANCE_STABILITY,BALANCE,BALANCE_UNCLASSIFIED
US500.spot.mg,M30,baseline,12.0,1.0,12.0,1.0,0.0,0.0,TRANSITION_NOISE,TRANSITION,TRANSITION_FAILED
US500.spot.mg,M30,baseline,12.0,1.0,12.0,1.0,0.0,0.0,TRANSITION_PERSISTENCE,TRANSITION,TRANSITION_FAILED
US500.spot.mg,M30,baseline,12.0,1.0,12.0,0.0,0.0,0.0,TRANSITION_RESOLUTION,TRANSITION,TRANSITION_FAILED
US500.spot.mg,M30,baseline,1971.0,176.0,11.198863636363637,0.9330289193302892,0.2500353450665294,0.0,TRANSITION_NOISE,TRANSITION,TRANSITION_NOISY
US500.spot.mg,M30,baseline,1971.0,176.0,11.198863636363637,0.7940131912734653,0.4045235059066098,0.0,TRANSITION_PERSISTENCE,TRANSITION,TRANSITION_NOISY
US500.spot.mg,M30,baseline,1971.0,176.0,11.198863636363637,0.0669710806697108,0.2500353450665294,0.0,TRANSITION_RESOLUTION,TRANSITION,TRANSITION_NOISY
US500.spot.mg,M30,baseline,4759.0,271.0,17.56088560885609,0.844794952681388,0.36213812398193174,0.0008405127127547804,TRANSITION_NOISE,TRANSITION,TRANSITION_UNCLASSIFIED
US500.spot.mg,M30,baseline,4759.0,271.0,17.56088560885609,0.7451104100946372,0.43584496849911464,0.0008405127127547804,TRANSITION_PERSISTENCE,TRANSITION,TRANSITION_UNCLASSIFIED
US500.spot.mg,M30,baseline,4759.0,271.0,17.56088560885609,0.15520504731861198,0.36213812398193174,0.0008405127127547804,TRANSITION_RESOLUTION,TRANSITION,TRANSITION_UNCLASSIFIED
US500.spot.mg,M30,baseline,176.0,38.0,4.631578947368421,0.625,0.4855041562276122,0.0,STATE_FRAGILITY,TREND,TREND_FRAGILE
US500.spot.mg,M30,baseline,176.0,38.0,4.631578947368421,0.375,0.4855041562276122,0.0,STATE_REINFORCEMENT,TREND,TREND_FRAGILE
US500.spot.mg,M30,baseline,1920.0,166.0,11.566265060240964,0.2796875,0.44896256565213905,0.0,STATE_FRAGILITY,TREND,TREND_STRONG
US500.spot.mg,M30,baseline,1920.0,166.0,11.566265060240964,0.7203125,0.44896256565213905,0.0,STATE_REINFORCEMENT,TREND,TREND_STRONG
US500.spot.mg,M30,baseline,834.0,105.0,7.942857142857143,0.31654676258992803,0.4654080225592363,0.0,STATE_FRAGILITY,TREND,TREND_UNCLASSIFIED
US500.spot.mg,M30,baseline,834.0,105.0,7.942857142857143,0.6834532374100719,0.4654080225592363,0.0,STATE_REINFORCEMENT,TREND,TREND_UNCLASSIFIED
