symbol,score_tf,edge_mode,control_mode,n_bars,n_days,bars_per_day,p_mean,p_std,p_nan_rate,look_for_rule,baseline_id,base_state,quality_label_full,control_p_mean,uplift,uplift_pp
USDCLP.mg,M15,baseline,PARENT_ESTRATO,1034.0,124.0,8.338709677419354,0.5909090909090909,0.49190400516240845,0.0,LOOK_FOR_transition_repricing_near_vwap,TRANSITION_PERSISTENCE,TRANSITION,TRANSITION_NOISY,0.5930506478209658,-0.002141556911874898,-0.21415569118748978
USDCLP.mg,M15,baseline,PARENT_ESTRATO,1606.0,177.0,9.073446327683616,0.6021170610211706,0.48961349241821533,0.0,LOOK_FOR_transition_repricing_near_vwap,TRANSITION_PERSISTENCE,TRANSITION,TRANSITION_UNCLASSIFIED,0.5938144329896907,0.008302628031479853,0.8302628031479853
USDCLP.mg,M15,baseline,PARENT_ESTRATO,335.0,57.0,5.87719298245614,0.13432835820895522,0.3415148705812613,0.0,LOOK_FOR_transition_dislocated_from_vwap,TRANSITION_RESOLUTION,TRANSITION,TRANSITION_NOISY,0.13074204946996468,0.0035863087389905457,0.35863087389905457
USDCLP.mg,M15,baseline,PARENT_ESTRATO,767.0,99.0,7.747474747474747,0.3116036505867014,0.46345102280063843,0.0,LOOK_FOR_transition_dislocated_from_vwap,TRANSITION_RESOLUTION,TRANSITION,TRANSITION_UNCLASSIFIED,0.24054982817869416,0.07105382240800726,7.105382240800726
USDCLP.mg,M15,baseline,PARENT_ESTRATO,90.0,20.0,4.5,0.8555555555555555,0.3535092488376121,0.0,LOOK_FOR_balance_dislocated_from_vwap,BALANCE_DEGRADATION,BALANCE,BALANCE_LEAKING,0.7349768875192604,0.12057866803629513,12.057866803629514
USDCLP.mg,M15,baseline,PARENT_ESTRATO,4.0,1.0,4.0,1.0,0.0,0.0,LOOK_FOR_balance_dislocated_from_vwap,BALANCE_DEGRADATION,BALANCE,BALANCE_STABLE,0.8421052631578947,0.1578947368421053,15.789473684210531
USDCLP.mg,M15,baseline,PARENT_ESTRATO,66.0,14.0,4.714285714285714,0.6212121212121212,0.4888023515980046,0.0,LOOK_FOR_balance_dislocated_from_vwap,BALANCE_DEGRADATION,BALANCE,BALANCE_UNCLASSIFIED,0.6045627376425855,0.016649383569535714,1.6649383569535714
USDCLP.mg,M15,baseline,PARENT_ESTRATO,57.0,14.0,4.071428571428571,0.3157894736842105,0.4689614184877847,0.0,LOOK_FOR_trend_late_session,STATE_REINFORCEMENT,TREND,TREND_FRAGILE,0.3237410071942446,-0.007951533510034081,-0.7951533510034081
USDCLP.mg,M15,baseline,PARENT_ESTRATO,392.0,62.0,6.32258064516129,0.49489795918367346,0.5006129131312728,0.0,LOOK_FOR_trend_late_session,STATE_REINFORCEMENT,TREND,TREND_STRONG,0.45454545454545453,0.04035250463821893,4.035250463821893
USDCLP.mg,M15,baseline,PARENT_ESTRATO,196.0,37.0,5.297297297297297,0.4846938775510204,0.5010454794478685,0.0,LOOK_FOR_trend_late_session,STATE_REINFORCEMENT,TREND,TREND_UNCLASSIFIED,0.4646017699115044,0.020092107639515966,2.0092107639515966
