symbol,ts,time,decision,context_key,meta_baseline_id,setup_family,side_intent,open,high,low,close,ctx_vwap,ctx_vwap_sigma,ctx_vwap_hi,ctx_vwap_lo,ctx_session_bucket,trend_dir_h2,range_pos_h2
EURUSD.mg,2023-01-01 18:00:00,2023-01-01 18:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1.07083,1.07096,1.06915,1.06979,1.0699666666666667,,,,NY_PM,FLAT,
EURUSD.mg,2023-01-01 20:00:00,2023-01-01 20:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1.06957,1.07086,1.06945,1.07075,1.070126666666667,0.0005656854249491757,1.0712580375165652,1.0689952958167686,NY_PM,FLAT,
EURUSD.mg,2023-01-01 22:00:00,2023-01-01 22:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1.07074,1.07099,1.06876,1.06946,1.0699966666666667,0.0005937451754189109,1.0711841570175045,1.068809176315829,NY_PM,FLAT,
EURUSD.mg,2023-01-02 00:00:00,2023-01-02 00:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1.06938,1.0704,1.06925,1.07017,1.0699400000000001,0.0005019185414209716,1.0709438370828421,1.068936162917158,ASIA,FLAT,
EURUSD.mg,2023-01-02 02:00:00,2023-01-02 02:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1.07017,1.07017,1.06792,1.06873,1.0694783333333335,0.0005582686529699647,1.0705948706392734,1.0683617960273937,ASIA,FLAT,
EURUSD.mg,2023-01-02 04:00:00,2023-01-02 04:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1.06872,1.06978,1.06635,1.06789,1.0690566666666668,0.0006567612030089691,1.0703701890726847,1.0677431442606489,ASIA,FLAT,
EURUSD.mg,2023-01-02 06:00:00,2023-01-02 06:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1.06789,1.06983,1.06742,1.06833,1.0688825000000002,0.0006073361309241706,1.0700971722618484,1.067667827738152,ASIA,DOWN,
EURUSD.mg,2023-01-02 08:00:00,2023-01-02 08:00:00,BLOCK,STATE=BALANCE|QL=NONE|LF=NONE,,blocked,NONE,1.06833,1.06867,1.06768,1.06819,1.0687686666666667,0.0005689798301548364,1.0699066263269763,1.067630707006357,LONDON,DOWN,
EURUSD.mg,2023-01-02 10:00:00,2023-01-02 10:00:00,BLOCK,STATE=BALANCE|QL=NONE|LF=NONE,,blocked,NONE,1.06819,1.0686,1.06703,1.06724,1.06864,0.0006345816194865137,1.069909163238973,1.067370836761027,LONDON,DOWN,
EURUSD.mg,2023-01-02 12:00:00,2023-01-02 12:00:00,BLOCK,STATE=BALANCE|QL=NONE|LF=NONE,,blocked,NONE,1.06724,1.06738,1.06511,1.06548,1.0684052380952382,0.0009780700013262691,1.0703613780978907,1.0664490980925858,LONDON,DOWN,
EURUSD.mg,2023-01-02 14:00:00,2023-01-02 14:00:00,BLOCK,STATE=BALANCE|QL=NONE|LF=NONE,,blocked,NONE,1.06547,1.0662,1.06515,1.06523,1.06821875,0.0011522126420134059,1.0705231752840267,1.0659143247159732,NY,DOWN,
EURUSD.mg,2023-01-02 16:00:00,2023-01-02 16:00:00,BLOCK,STATE=BALANCE|QL=NONE|LF=NONE,,blocked,NONE,1.06523,1.06704,1.06501,1.06649,1.0681166666666666,0.0011168943416322659,1.0703504553499312,1.065882877983402,NY,DOWN,0.24749163879597022
EURUSD.mg,2023-01-02 18:00:00,2023-01-02 18:00:00,BLOCK,STATE=BALANCE|QL=NONE|LF=NONE,,blocked,NONE,1.06649,1.06722,1.0657,1.06668,1.0680413333333332,0.001074366743864141,1.0701900668210615,1.0658925998456048,NY_PM,DOWN,0.27926421404682833
