symbol,ts,time,decision,context_key,meta_baseline_id,setup_family,side_intent,open,high,low,close,ctx_vwap,ctx_vwap_sigma,ctx_vwap_hi,ctx_vwap_lo,ctx_session_bucket,trend_dir_h2,range_pos_h2
USDCLP.mg,2023-01-03 13:00:00,2023-01-03 13:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,855.15,855.25,851.6,852.8,853.2166666666666,,,,NY,FLAT,
USDCLP.mg,2023-01-03 14:00:00,2023-01-03 14:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,852.6,852.6,845.0,847.5,851.2333333333333,2.3452374909354203,855.9238083152042,846.5428583514625,NY,FLAT,
USDCLP.mg,2023-01-03 15:00:00,2023-01-03 15:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,847.55,848.9,847.3,848.0,850.6277777777777,1.6887640061041196,854.005305789986,847.2502497655695,NY,FLAT,
USDCLP.mg,2023-01-03 16:00:00,2023-01-03 16:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,848.1,853.55,844.8,853.0,850.725,2.653518293967408,856.0320365879348,845.4179634120652,NY,FLAT,
USDCLP.mg,2023-01-03 17:00:00,2023-01-03 17:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,853.3,863.7,853.3,863.7,852.0600000000001,6.154141729932664,864.3682834598654,839.7517165401347,NY,FLAT,
USDCLP.mg,2023-01-03 19:00:00,2023-01-03 19:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,859.6,859.6,859.6,859.6,852.7222222222223,5.937153407687857,864.596529037598,840.8479154068466,NY_PM,FLAT,
USDCLP.mg,2023-01-03 20:00:00,2023-01-03 20:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,859.4,859.6,859.1,859.6,853.1952380952381,5.6338258776806445,864.4628898505994,841.9275863398768,NY_PM,UP,
USDCLP.mg,2023-01-04 13:00:00,2023-01-04 13:00:00,BLOCK,STATE=BALANCE|QL=NONE|LF=NONE,,blocked,NONE,852.8,852.8,850.15,850.15,851.0333333333333,5.386198033166614,861.8057293996666,840.260937267,NY,UP,
USDCLP.mg,2023-01-04 14:00:00,2023-01-04 14:00:00,BLOCK,STATE=BALANCE|QL=NONE|LF=NONE,,blocked,NONE,850.3,856.25,850.3,856.1,852.5999999999999,5.050653351674959,862.7013067033498,842.49869329665,NY,UP,
USDCLP.mg,2023-01-04 15:00:00,2023-01-04 15:00:00,BLOCK,STATE=BALANCE|QL=NONE|LF=NONE,,blocked,NONE,855.9,857.55,853.5,853.9,853.0222222222222,4.7914098740367335,862.6050419702957,843.4394024741488,NY,UP,
