symbol,ts,time,decision,context_key,meta_baseline_id,setup_family,side_intent,open,high,low,close,ctx_vwap,ctx_vwap_sigma,ctx_vwap_hi,ctx_vwap_lo,ctx_session_bucket,trend_dir_h2,range_pos_h2
XAUUSD.mg,2023-01-03 00:00:00,2023-01-03 00:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1824.35,1832.18,1824.02,1830.66,1828.9533333333331,,,,ASIA,FLAT,
XAUUSD.mg,2023-01-03 02:00:00,2023-01-03 02:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1830.62,1839.88,1826.89,1838.41,1831.5283333333332,3.6592775926403514,1838.846888518614,1824.2097781480525,ASIA,FLAT,
XAUUSD.mg,2023-01-03 04:00:00,2023-01-03 04:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1838.41,1843.13,1838.41,1840.42,1832.971111111111,3.164266162918983,1839.299643436949,1826.642578785273,ASIA,FLAT,
XAUUSD.mg,2023-01-03 06:00:00,2023-01-03 06:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1840.4,1844.23,1837.97,1841.94,1833.9108333333334,2.911227789354852,1839.733288912043,1828.0883777546237,ASIA,FLAT,
XAUUSD.mg,2023-01-03 08:00:00,2023-01-03 08:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1841.96,1849.98,1834.58,1836.1,1834.4686666666669,3.1941420297434138,1840.8569507261536,1828.0803826071801,LONDON,FLAT,
XAUUSD.mg,2023-01-03 10:00:00,2023-01-03 10:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1836.14,1841.92,1833.73,1834.47,1834.75,3.613485617676776,1841.9769712353536,1827.5230287646464,LONDON,FLAT,
XAUUSD.mg,2023-01-03 12:00:00,2023-01-03 12:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1834.47,1836.41,1830.82,1834.6,1834.957142857143,3.7276391417196693,1842.4124211405824,1827.5018645737036,LONDON,UP,
XAUUSD.mg,2023-01-03 14:00:00,2023-01-03 14:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1834.77,1849.83,1834.17,1844.96,1835.5441666666668,4.020851864600059,1843.585870395867,1827.5024629374666,NY,UP,
XAUUSD.mg,2023-01-03 16:00:00,2023-01-03 16:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1844.98,1845.45,1827.59,1834.29,1835.6055555555556,4.202630418234825,1844.0108163920252,1827.200294719086,NY,DOWN,
XAUUSD.mg,2023-01-03 18:00:00,2023-01-03 18:00:00,BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,blocked,NONE,1834.3,1840.25,1834.01,1838.84,1835.8063333333334,3.967620215537739,1843.741573764409,1827.871092902258,NY_PM,DOWN,
