symbol,ts,time,decision,context_key,meta_baseline_id,setup_family,side_intent,open,high,low,close,ctx_vwap,ctx_vwap_sigma,ctx_vwap_hi,ctx_vwap_lo,ctx_session_bucket,trend_dir_h2,range_pos_h2,ql_extracted
XAUUSD.mg,2023-01-04 16:00:00,2023-01-04 16:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1856.49,1860.38,1849.06,1858.58,1847.1756666666668,5.0793383225015685,1857.33434331167,1837.016990021664,NY,UP,0.7897782063645135,TREND_STRONG
XAUUSD.mg,2023-01-06 18:00:00,2023-01-06 18:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1863.45,1869.53,1860.97,1868.72,1839.4236363636364,9.243314995273572,1857.9102663541837,1820.9370063730892,NY_PM,UP,0.9794780846212328,TREND_STRONG
XAUUSD.mg,2023-01-06 20:00:00,2023-01-06 20:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1868.72,1869.83,1865.85,1866.85,1840.77,9.768260519877908,1860.306521039756,1821.233478960244,NY_PM,UP,0.925069147598692,TREND_STRONG
XAUUSD.mg,2023-01-09 02:00:00,2023-01-09 02:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1868.64,1879.47,1868.23,1879.23,1871.39,9.506265336287353,1890.4025306725744,1852.3774693274247,ASIA,UP,0.9948040701450528,TREND_STRONG
XAUUSD.mg,2023-01-12 20:00:00,2023-01-12 20:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1898.92,1899.55,1894.31,1898.4,1882.9450000000004,6.556026107722584,1896.0570522154453,1869.8329477845552,NY_PM,UP,0.8973286128097897,TREND_STRONG
XAUUSD.mg,2023-02-02 08:00:00,2023-02-02 08:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1952.1,1959.65,1952.09,1957.24,1953.157222222222,6.054896232752988,1965.267014687728,1941.047429756716,LONDON,UP,0.9383000512032752,TREND_STRONG
XAUUSD.mg,2023-02-20 06:00:00,2023-02-20 06:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1842.64,1845.63,1841.15,1844.03,1841.04,6.439079553516705,1853.9181591070333,1828.161840892967,ASIA,UP,0.9401197604790368,TREND_STRONG
XAUUSD.mg,2023-03-01 06:00:00,2023-03-01 06:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1830.04,1836.77,1829.95,1834.75,1827.598,5.214800102562783,1838.0276002051253,1817.1683997948744,ASIA,UP,0.9369931378665008,TREND_STRONG
XAUUSD.mg,2023-03-01 10:00:00,2023-03-01 10:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1835.74,1838.02,1830.41,1834.9,1828.840476190476,5.322691440355532,1839.4858590711876,1818.195093309765,LONDON,UP,0.8986683988307926,TREND_STRONG
XAUUSD.mg,2023-03-01 12:00:00,2023-03-01 12:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1834.9,1840.65,1834.44,1840.64,1829.58375,5.545938158203991,1840.675626316408,1818.491873683592,LONDON,UP,0.9997007779772594,TREND_STRONG
